sensor_id,sensor_name,parameter_id,parameter_name,parameter_units,location_id,location_name,locality,latitude,longitude,datetime_first,datetime_last
7969,no2 µg/m³,5,no2,µg/m³,3454,NET-FR068A,ATMO OCCITANIE,43.630280000000006,0.179722,,
7971,o3 µg/m³,3,o3,µg/m³,3454,NET-FR068A,ATMO OCCITANIE,43.630280000000006,0.179722,,
7805,pm10 µg/m³,1,pm10,µg/m³,3454,NET-FR068A,ATMO OCCITANIE,43.630280000000006,0.179722,,
7703,pm25 µg/m³,2,pm25,µg/m³,3454,NET-FR068A,ATMO OCCITANIE,43.630280000000006,0.179722,,
4275003,no µg/m³,19843,no,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
8605,no2 µg/m³,5,no2,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
8606,o3 µg/m³,3,o3,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
8607,pm10 µg/m³,1,pm10,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
7704,pm25 µg/m³,2,pm25,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
8608,so2 µg/m³,6,so2,µg/m³,3455,NET-FR068A,ATMO OCCITANIE,43.587219999999995,1.443889,,
7705,pm10 µg/m³,1,pm10,µg/m³,3456,NET-FR068A,ATMO OCCITANIE,43.803889999999996,1.595833,,
4275499,no µg/m³,19843,no,µg/m³,3457,Paray le Fresil,PARAY-LE-FRÉSIL,46.652667999845924,3.600667000393966,,
8617,no2 µg/m³,5,no2,µg/m³,3457,Paray le Fresil,PARAY-LE-FRÉSIL,46.652667999845924,3.600667000393966,,
8579,o3 µg/m³,3,o3,µg/m³,3457,Paray le Fresil,PARAY-LE-FRÉSIL,46.652667999845924,3.600667000393966,,
8572,pm10 µg/m³,1,pm10,µg/m³,3457,Paray le Fresil,PARAY-LE-FRÉSIL,46.652667999845924,3.600667000393966,,
7708,pm25 µg/m³,2,pm25,µg/m³,3457,Paray le Fresil,PARAY-LE-FRÉSIL,46.652667999845924,3.600667000393966,,
7714,pm10 µg/m³,1,pm10,µg/m³,3461,Gd Couronne Mairie,GRAND-COURONNE,49.358214999834985,1.0078530004089747,,
20610,no2 µg/m³,5,no2,µg/m³,3462,FR02013,Bouches-du-Rhône,43.4588738424815,4.93416737793045,,
9814,o3 µg/m³,3,o3,µg/m³,3462,FR02013,Bouches-du-Rhône,43.4588738424815,4.93416737793045,,
7715,pm10 µg/m³,1,pm10,µg/m³,3462,FR02013,Bouches-du-Rhône,43.4588738424815,4.93416737793045,,
1313925,pm25 µg/m³,2,pm25,µg/m³,3462,FR02013,Bouches-du-Rhône,43.4588738424815,4.93416737793045,,
7717,so2 µg/m³,6,so2,µg/m³,3462,FR02013,Bouches-du-Rhône,43.4588738424815,4.93416737793045,,
7716,pm10 µg/m³,1,pm10,µg/m³,3463,Neuves-Maisons,NEUVES-MAISONS,48.614913999968756,6.107672000248521,,
4274868,no µg/m³,19843,no,µg/m³,3464,Centre Penitencier,LE PORT,-20.949799999873,55.313828000119315,,
24288,no2 µg/m³,5,no2,µg/m³,3464,Centre Penitencier,LE PORT,-20.949799999873,55.313828000119315,,
7718,so2 µg/m³,6,so2,µg/m³,3464,Centre Penitencier,LE PORT,-20.949799999873,55.313828000119315,,
4275125,no µg/m³,19843,no,µg/m³,3465,Ecole La Marine,SAINTE-SUZANNE,-20.91058500035716,55.61897700015456,,
7720,no2 µg/m³,5,no2,µg/m³,3465,Ecole La Marine,SAINTE-SUZANNE,-20.91058500035716,55.61897700015456,,
7719,o3 µg/m³,3,o3,µg/m³,3465,Ecole La Marine,SAINTE-SUZANNE,-20.91058500035716,55.61897700015456,,
7721,so2 µg/m³,6,so2,µg/m³,3465,Ecole La Marine,SAINTE-SUZANNE,-20.91058500035716,55.61897700015456,,
4275061,no µg/m³,19843,no,µg/m³,3466,Sarda Garriga,SAINT-LOUIS,-21.277074999934275,55.40306500012004,,
7722,no2 µg/m³,5,no2,µg/m³,3466,Sarda Garriga,SAINT-LOUIS,-21.277074999934275,55.40306500012004,,
7723,so2 µg/m³,6,so2,µg/m³,3466,Sarda Garriga,SAINT-LOUIS,-21.277074999934275,55.40306500012004,,
7724,so2 µg/m³,6,so2,µg/m³,3467,Thann,THANN,47.810932000300355,7.1055530003178475,,
7793,co µg/m³,4,co,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
4275078,no µg/m³,19843,no,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
7790,no2 µg/m³,5,no2,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
7725,pm10 µg/m³,1,pm10,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
15290412,pm25 µg/m³,2,pm25,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
7788,so2 µg/m³,6,so2,µg/m³,3468,Grande-synthe,GRANDE-SYNTHE,51.02446000023847,2.302149999732888,,
8180,pm10 µg/m³,1,pm10,µg/m³,3469,Malo-les-Bains,DUNKERQUE,51.048579999979886,2.4200400000058053,,
8181,pm25 µg/m³,2,pm25,µg/m³,3469,Malo-les-Bains,DUNKERQUE,51.048579999979886,2.4200400000058053,,
7726,so2 µg/m³,6,so2,µg/m³,3469,Malo-les-Bains,DUNKERQUE,51.048579999979886,2.4200400000058053,,
7772,no2 µg/m³,5,no2,µg/m³,3470,AMPERE,DONGES,47.324096999979076,-2.081567000071128,,
7727,so2 µg/m³,6,so2,µg/m³,3470,AMPERE,DONGES,47.324096999979076,-2.081567000071128,,
7728,pm10 µg/m³,1,pm10,µg/m³,3471,FR02009,Bouches-du-Rhône,43.4002906312612,4.79639276280504,,
7758,so2 µg/m³,6,so2,µg/m³,3471,FR02009,Bouches-du-Rhône,43.4002906312612,4.79639276280504,,
9889,o3 µg/m³,3,o3,µg/m³,3472,FR02020,Bouches-du-Rhône,43.510559975903,5.21972384044637,,
7729,pm10 µg/m³,1,pm10,µg/m³,3472,FR02020,Bouches-du-Rhône,43.510559975903,5.21972384044637,,
24599,pm25 µg/m³,2,pm25,µg/m³,3472,FR02020,Bouches-du-Rhône,43.510559975903,5.21972384044637,,
7741,so2 µg/m³,6,so2,µg/m³,3472,FR02020,Bouches-du-Rhône,43.510559975903,5.21972384044637,,
4274705,no µg/m³,19843,no,µg/m³,3474,Mardyck,DUNKERQUE,51.01943000002197,2.250990000172918,,
7739,no2 µg/m³,5,no2,µg/m³,3474,Mardyck,DUNKERQUE,51.01943000002197,2.250990000172918,,
7731,pm10 µg/m³,1,pm10,µg/m³,3474,Mardyck,DUNKERQUE,51.01943000002197,2.250990000172918,,
7738,so2 µg/m³,6,so2,µg/m³,3474,Mardyck,DUNKERQUE,51.01943000002197,2.250990000172918,,
7732,pm10 µg/m³,1,pm10,µg/m³,3475,FR02029,Bouches-du-Rhône,43.3995726680061,5.11471976688564,,
7747,so2 µg/m³,6,so2,µg/m³,3475,FR02029,Bouches-du-Rhône,43.3995726680061,5.11471976688564,,
7733,pm10 µg/m³,1,pm10,µg/m³,3476,Gravelines PC/Drire,GRAVELINES,50.98106000001642,2.1431700001489395,,
24878,so2 µg/m³,6,so2,µg/m³,3476,Gravelines PC/Drire,GRAVELINES,50.98106000001642,2.1431700001489395,,
7735,so2 µg/m³,6,so2,µg/m³,3478,Lillebonne,LILLEBONNE,49.512145999765295,0.5390359996474741,,
24890,co µg/m³,4,co,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
4274718,no µg/m³,19843,no,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
24889,no2 µg/m³,5,no2,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
24888,pm10 µg/m³,1,pm10,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
14126423,pm25 µg/m³,2,pm25,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
7736,so2 µg/m³,6,so2,µg/m³,3479,Gonfreville l Orcher,GONFREVILLE-L'ORCHER,49.50273000006004,0.232485999671531,,
9112,no2 µg/m³,5,no2,µg/m³,3480,FR02019,,43.45722199946389,5.244303,,
9108,o3 µg/m³,3,o3,µg/m³,3480,FR02019,,43.45722199946389,5.244303,,
7737,so2 µg/m³,6,so2,µg/m³,3480,FR02019,,43.45722199946389,5.244303,,
5078323,so2 µg/m³,6,so2,µg/m³,3481,La Cerlangue,LA CERLANGUE,49.50403599998655,0.4115940000577919,,
7678122,o3 µg/m³,3,o3,µg/m³,3482,Rogerville Mairie,ROGERVILLE,49.50361999999659,0.266871999577949,,
7742,so2 µg/m³,6,so2,µg/m³,3482,Rogerville Mairie,ROGERVILLE,49.50361999999659,0.266871999577949,,
5078542,so2 µg/m³,6,so2,µg/m³,3483,Tancarville Mairie,TANCARVILLE,49.487681999856584,0.4517560001544555,,
7744,pm10 µg/m³,1,pm10,µg/m³,3484,PEILLON,PEILLON,43.786582999679794,7.373282999688281,,
